sample	tissue	type	sample_type
GTEX-ZT9W-0003-SM-4YCE6	DLBC	DLBC_normal_GTEx	normal
GTEX-11ZTS-0005-SM-5NQ8A	DLBC	DLBC_normal_GTEx	normal
GTEX-X4EP-0005-SM-3P5ZE	DLBC	DLBC_normal_GTEx	normal
GTEX-UPJH-0006-SM-3GACW	DLBC	DLBC_normal_GTEx	normal
GTEX-14B4R-0006-SM-5O9A7	DLBC	DLBC_normal_GTEx	normal
GTEX-X4LF-0006-SM-3NMCO	DLBC	DLBC_normal_GTEx	normal
GTEX-UPJH-0001-SM-3NMDE	DLBC	DLBC_normal_GTEx	normal
GTEX-13OVI-0001-SM-5O9BL	DLBC	DLBC_normal_GTEx	normal
GTEX-OIZF-0006-SM-2I5GQ	DLBC	DLBC_normal_GTEx	normal
GTEX-WWYW-0005-SM-3NB3K	DLBC	DLBC_normal_GTEx	normal
GTEX-UPK5-0006-SM-3GAD8	DLBC	DLBC_normal_GTEx	normal
